,Ending date,Starting date,Earnings,End of window,Start of window
0,2007-11-07,2007-10-10,105.1649637771506,2007-10-10,2007-06-20
1,2007-12-05,2007-11-07,103.80823874508947,2007-11-07,2007-07-18
2,2008-01-02,2007-12-05,105.44431458588839,2007-12-05,2007-08-15
3,2008-01-30,2008-01-02,79.4944294683382,2008-01-02,2007-09-12
4,2008-02-27,2008-01-30,80.06038052578722,2008-01-30,2007-10-10
5,2008-03-26,2008-02-27,80.20646910373495,2008-02-27,2007-11-07
6,2008-04-23,2008-03-26,78.77207421555201,2008-03-26,2007-12-05
7,2008-05-21,2008-04-23,80.44227477279203,2008-04-23,2008-01-02
8,2008-06-18,2008-05-21,79.67276750867677,2008-05-21,2008-01-30
9,2008-07-16,2008-06-18,73.0225268557649,2008-06-18,2008-02-27
10,2008-08-13,2008-07-16,72.4963982424932,2008-07-16,2008-03-26
11,2008-09-10,2008-08-13,69.17551111843511,2008-08-13,2008-04-23
12,2008-10-08,2008-09-10,65.78430680348796,2008-09-10,2008-05-21
13,2008-11-05,2008-10-08,59.723320243081645,2008-10-08,2008-06-18
14,2008-12-03,2008-11-05,61.70759325134971,2008-11-05,2008-07-16
15,2008-12-31,2008-12-03,66.46542688749392,2008-12-03,2008-08-13
16,2009-01-28,2008-12-31,67.18346169797644,2008-12-31,2008-09-10
17,2009-02-25,2009-01-28,66.45534601938729,2009-01-28,2008-10-08
18,2009-03-25,2009-02-25,67.96026702720512,2009-02-25,2008-11-05
19,2009-04-22,2009-03-25,74.48043326798025,2009-03-25,2008-12-03
20,2009-05-20,2009-04-22,74.34036617612135,2009-04-22,2008-12-31
21,2009-06-17,2009-05-20,78.96780034681183,2009-05-20,2009-01-28
22,2009-07-15,2009-06-17,78.81506732057403,2009-06-17,2009-02-25
23,2009-08-12,2009-07-15,85.26354622967824,2009-07-15,2009-03-25
24,2009-09-09,2009-08-12,86.66938789446512,2009-08-12,2009-04-22
25,2009-10-07,2009-09-09,87.82044016229361,2009-09-09,2009-05-20
26,2009-11-04,2009-10-07,87.71256681326807,2009-10-07,2009-06-17
