,#,Company,Symbol,Weight,      Price,Chg,% Chg
0,1,Microsoft Corp,MSFT,13.249,   335.12,-0.29,(-0.08%)
1,2,Apple Inc,AAPL,12.271,   181.11,0.16,(0.09%)
2,3,Amazon.com Inc,AMZN,6.785,   124.19,-0.06,(-0.05%)
3,4,NVIDIA Corp,NVDA,6.715,   392.30,-0.97,(-0.25%)
4,5,Meta Platforms Inc,META,4.195,   272.40,-0.21,(-0.08%)
5,6,Alphabet Inc,GOOGL,4.033,   124.62,-0.05,(-0.04%)
6,7,Alphabet Inc,GOOG,3.983,   125.19,-0.05,(-0.04%)
7,8,Tesla Inc,TSLA,3.608,   213.80,-0.17,(-0.08%)
8,9,Broadcom Inc,AVGO,2.34,   810.50,-1.5,(-0.18%)
9,10,PepsiCo Inc,PEP,1.753,   183.61,-0.45,(-0.25%)
10,11,Costco Wholesale Corp,COST,1.572,   511.65,-0.94,(-0.18%)
11,12,Cisco Systems Inc,CSCO,1.416,   50.02,0.0,(0.00%)
12,13,Adobe Inc,ADBE,1.381,   436.26,-0.12,(-0.03%)
13,14,Advanced Micro Devices Inc,AMD,1.313,   117.42,-0.44,(-0.37%)
14,15,Netflix Inc,NFLX,1.233,   400.50,0.03,(0.01%)
15,16,Comcast Corp,CMCSA,1.14,   39.52,0.33,(0.83%)
16,17,T-Mobile US Inc,TMUS,1.106,   130.27,-0.92,(-0.70%)
17,18,Texas Instruments Inc,TXN,1.098,   174.63,-0.6,(-0.34%)
18,19,Honeywell International Inc,HON,0.918,   198.08,-0.78,(-0.39%)
19,20,Intel Corp,INTC,0.895,   31.36,0.05,(0.16%)
20,21,QUALCOMM Inc,QCOM,0.891,   115.73,0.11,(0.09%)
21,22,Intuit Inc,INTU,0.835,   431.02,0.53,(0.12%)
22,23,Amgen Inc,AMGN,0.805,   218.56,0.49,(0.22%)
23,24,Starbucks Corp,SBUX,0.791,   99.33,-0.18,(-0.18%)
24,25,Applied Materials Inc,AMAT,0.787,   134.85,0.22,(0.16%)
25,26,Intuitive Surgical Inc,ISRG,0.756,   312.83,0.65,(0.21%)
26,27,Mondelez International Inc,MDLZ,0.7,   74.24,-0.03,(-0.04%)
27,28,Booking Holdings Inc,BKNG,0.683,"   2,620.03",-5.62,(-0.21%)
28,29,Gilead Sciences Inc,GILD,0.672,   76.92,-0.97,(-1.24%)
29,30,Analog Devices Inc,ADI,0.629,   180.96,1.16,(0.65%)
30,31,Automatic Data Processing Inc,ADP,0.62,   217.78,1.26,(0.58%)
31,32,Vertex Pharmaceuticals Inc,VRTX,0.593,   336.18,2.4,(0.72%)
32,33,Lam Research Corp,LRCX,0.572,   612.50,-1.17,(-0.19%)
33,34,Regeneron Pharmaceuticals Inc,REGN,0.55,   739.00,-0.95,(-0.13%)
34,35,Micron Technology Inc,MU,0.522,   69.15,-0.02,(-0.03%)
35,36,PayPal Holdings Inc,PYPL,0.5,   63.89,-0.08,(-0.12%)
36,37,Fiserv Inc,FISV,0.495,   112.49,-1.42,(-1.24%)
37,38,Synopsys Inc,SNPS,0.473,   456.31,6.95,(1.55%)
38,39,CSX Corp,CSX,0.455,   31.98,0.06,(0.19%)
39,40,Palo Alto Networks Inc,PANW,0.454,   229.22,11.98,(5.51%)
40,41,MercadoLibre Inc,MELI,0.442,"   1,257.45",-13.2,(-1.04%)
41,42,ASML Holding NV,ASML,0.44,   724.30,-0.35,(-0.05%)
42,43,KLA Corp,KLAC,0.439,   460.89,2.83,(0.62%)
43,44,Activision Blizzard Inc,ATVI,0.436,   80.63,0.13,(0.16%)
44,45,Cadence Design Systems Inc,CDNS,0.433,   231.79,2.1,(0.91%)
45,46,Monster Beverage Corp,MNST,0.429,   59.50,0.02,(0.03%)
46,47,O'Reilly Automotive Inc,ORLY,0.383,   906.33,10.99,(1.23%)
47,48,Marriott International Inc/MD,MAR,0.377,   178.31,1.09,(0.61%)
48,49,Fortinet Inc,FTNT,0.369,   68.24,0.11,(0.15%)
49,50,Marvell Technology Inc,MRVL,0.355,   60.05,-0.13,(-0.22%)
50,51,Moderna Inc,MRNA,0.349,   130.63,0.12,(0.09%)
51,52,Charter Communications Inc,CHTR,0.348,   336.50,7.18,(2.18%)
52,53,Cintas Corp,CTAS,0.338,   491.12,9.56,(1.99%)
53,54,Airbnb Inc,ABNB,0.334,   115.90,-2.16,(-1.83%)
54,55,Dexcom Inc,DXCM,0.327,   122.67,0.1,(0.08%)
55,56,NXP Semiconductors NV,NXPI,0.325,   179.52,-2.09,(-1.15%)
56,57,Kraft Heinz Co/The,KHC,0.323,   38.60,0.09,(0.23%)
57,58,Lululemon Athletica Inc,LULU,0.309,   362.78,-2.67,(-0.73%)
58,59,Keurig Dr Pepper Inc,KDP,0.306,   31.69,0.24,(0.75%)
59,60,Autodesk Inc,ADSK,0.305,   207.95,3.71,(1.81%)
60,61,AstraZeneca PLC ADR,AZN,0.303,   72.65,0.06,(0.08%)
61,62,Workday Inc,WDAY,0.301,   212.70,-0.8,(-0.38%)
62,63,Biogen Inc,BIIB,0.3,   302.00,1.8,(0.60%)
63,64,American Electric Power Co Inc,AEP,0.297,   83.13,-0.32,(-0.38%)
64,65,Microchip Technology Inc,MCHP,0.292,   77.55,0.35,(0.45%)
65,66,Copart Inc,CPRT,0.29,   88.82,0.79,(0.89%)
66,67,PDD Holdings Inc ADR,PDD,0.286,   69.51,-0.03,(-0.04%)
67,68,Paychex Inc,PAYX,0.275,   110.83,0.58,(0.53%)
68,69,Exelon Corp,EXC,0.273,   39.96,0.27,(0.68%)
69,70,IDEXX Laboratories Inc,IDXX,0.27,   475.38,4.55,(0.97%)
70,71,PACCAR Inc,PCAR,0.265,   74.16,0.86,(1.17%)
71,72,Seagen Inc,SGEN,0.252,   195.34,-0.04,(-0.02%)
72,73,Ross Stores Inc,ROST,0.245,   103.96,0.66,(0.64%)
73,74,Old Dominion Freight Line Inc,ODFL,0.243,   313.54,-6.13,(-1.92%)
74,75,Electronic Arts Inc,EA,0.242,   127.74,0.07,(0.05%)
75,76,Xcel Energy Inc,XEL,0.24,   62.95,-0.2,(-0.31%)
76,77,Verisk Analytics Inc,VRSK,0.237,   223.85,2.48,(1.12%)
77,78,CoStar Group Inc,CSGP,0.23,   82.93,1.05,(1.28%)
78,79,Crowdstrike Holdings Inc,CRWD,0.228,   151.27,-0.06,(-0.04%)
79,80,Illumina Inc,ILMN,0.226,   206.75,-0.56,(-0.27%)
80,81,Cognizant Technology Solutions Corp,CTSH,0.224,   63.18,-0.58,(-0.90%)
81,82,GLOBALFOUNDRIES Inc,GFS,0.223,   59.77,0.6,(1.01%)
82,83,Fastenal Co,FAST,0.219,   55.76,0.39,(0.70%)
83,84,Baker Hughes Co,BKR,0.207,   29.62,0.04,(0.12%)
84,85,Dollar Tree Inc,DLTR,0.204,   133.51,-0.11,(-0.08%)
85,86,Datadog Inc,DDOG,0.201,   99.14,0.37,(0.38%)
86,87,Constellation Energy Corp,CEG,0.198,   88.15,0.61,(0.69%)
87,88,Warner Bros Discovery Inc,WBD,0.197,   11.71,-0.05,(-0.38%)
88,89,ANSYS Inc,ANSS,0.196,   322.49,-2.51,(-0.77%)
89,90,Atlassian Corp,TEAM,0.191,   184.96,1.06,(0.58%)
90,91,Walgreens Boots Alliance Inc,WBA,0.186,   31.13,-0.06,(-0.19%)
91,92,Enphase Energy Inc,ENPH,0.172,   181.56,-0.3,(-0.16%)
92,93,Diamondback Energy Inc,FANG,0.167,   131.60,0.25,(0.19%)
93,94,eBay Inc,EBAY,0.165,   44.35,-0.05,(-0.10%)
94,95,Align Technology Inc,ALGN,0.16,   306.56,4.56,(1.51%)
95,96,Zscaler Inc,ZS,0.142,   142.65,0.26,(0.18%)
96,97,Zoom Video Communications Inc,ZM,0.114,   67.04,-0.05,(-0.07%)
97,98,JD.com Inc ADR,JD,0.113,   35.46,0.03,(0.07%)
98,99,Sirius XM Holdings Inc,SIRI,0.096,   3.58,-0.01,(-0.14%)
99,100,Rivian Automotive Inc,RIVN,0.092,   14.46,-0.03,(-0.17%)
100,101,Lucid Group Inc,LCID,0.084,   6.58,-0.02,(-0.30%)
